,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales_Predicted
190,FDV15,OUT049,1960.921669215916
191,FDL58,OUT049,3644.509753471163
192,FDA08,OUT045,2714.196124941205
193,FDT43,OUT018,777.3744601244032
194,NCX06,OUT027,4129.721030768898
195,FDT20,OUT046,1044.1339430624255
196,FDB41,OUT046,1006.8701698386174
197,NCN55,OUT049,3628.510419435852
198,FDE40,OUT027,2457.9400626059096
199,FDX49,OUT027,4958.5632933728775
200,NCM53,OUT045,1872.2111896149336
201,FDE36,OUT035,2753.4601891942175
202,FDN57,OUT045,1872.6924677808245
203,FDI24,OUT027,4127.187267997183
204,FDI19,OUT046,3505.8202210519567
205,FDF24,OUT010,-869.015429314408
206,FDG52,OUT049,1152.9795573983843
207,DRF36,OUT045,3537.8389215992192
208,FDS45,OUT019,-105.20768483377537
209,FDX40,OUT010,-901.2528571186465
210,DRK12,OUT035,1092.9797820709252
211,DRC27,OUT035,3553.723061030564
212,FDL58,OUT017,3622.440892459047
213,NCD30,OUT045,1877.8649319801789
214,NCZ54,OUT010,796.7602603053049
215,FDE10,OUT010,-56.838525980442
216,FDR44,OUT010,-8.592952498208433
217,FDP28,OUT010,1582.287843034161
218,FDX15,OUT013,2686.466993707754
219,FDA39,OUT035,1113.455176049666
220,FDY24,OUT049,1152.2488684327575
221,FDC60,OUT017,1111.5478512747156
222,FDH28,OUT046,1010.253851248113
223,FDT25,OUT017,1951.9626686249544
224,DRJ13,OUT013,2726.1800823813937
225,NCO07,OUT019,1547.0465212923566
226,FDW20,OUT013,1894.0749686933982
227,DRF27,OUT019,711.8975153628892
228,FDS49,OUT035,1107.202873408324
229,FDX25,OUT027,4105.023512827416
230,NCX42,OUT027,4158.955564217308
231,FDG33,OUT027,4119.620182460352
232,FDL56,OUT045,1034.7460247564604
233,FDF14,OUT035,2752.6695846399653
234,NCD06,OUT046,1020.2405255382314
235,DRM47,OUT027,4965.643080616734
236,FDS46,OUT019,-143.8900976336638
237,FDB35,OUT013,1075.9049166961952
238,FDX21,OUT027,3307.5622220180994
239,NCU05,OUT027,2479.34229698767
240,NCR38,OUT045,3507.0577977934618
241,NCR18,OUT017,1116.694663602206
242,NCU41,OUT035,3543.8268163422445
243,FDY56,OUT017,3578.2132747194883
244,DRJ51,OUT035,3543.705551805697
245,FDK21,OUT035,3582.466242177453
246,FDY25,OUT013,2736.704227592888
247,FDU44,OUT035,2732.1950670852702
248,FDL43,OUT049,1173.304260104651
249,FDF05,OUT017,3586.673686873186
250,DRF15,OUT019,687.3027204711118
251,FDL20,OUT018,1567.1342907309934
252,FDV32,OUT049,1159.4561255245767
253,FDJ34,OUT013,1893.30260058302
254,FDG08,OUT045,2675.150855718055
255,FDQ04,OUT019,-963.5060194941925
256,FDW13,OUT017,1109.5749038999525
257,NCI17,OUT013,1885.159909861872
258,FDY03,OUT045,1867.3710389178304
259,FDS12,OUT017,1909.54952368539
260,FDJ55,OUT013,3563.367765923871
261,DRK01,OUT035,1916.6409135804909
262,FDG28,OUT017,3598.8126607586073
263,FDY38,OUT045,3513.805474117805
264,FDN01,OUT045,2714.1190610519498
265,NCR54,OUT013,3534.204557169219
266,FDG29,OUT013,1066.1342919084864
267,FDG24,OUT013,1101.5668814085907
268,FDG59,OUT017,1109.5626298027448
269,FDM28,OUT013,2724.574184086733
270,FDW04,OUT046,1867.8219839148987
271,FDS26,OUT013,3525.213239283854
272,FDQ56,OUT013,1076.4606840465158
273,FDK51,OUT035,3556.088289289344
274,FDL22,OUT046,1030.8802344649275
275,FDH19,OUT027,4120.239321281049
276,FDY55,OUT013,3536.150395214833
277,FDY03,OUT017,1920.445158413816
278,FDK21,OUT010,1632.5476999609666
279,FDZ10,OUT027,3294.9328820422097
280,FDZ32,OUT018,1617.1279353849693
281,NCZ18,OUT035,3527.7736253072335
282,NCF07,OUT027,3319.439468633387
283,DRE49,OUT017,2755.5773705410575
284,FDJ08,OUT019,1487.2105963010902
285,FDT39,OUT035,2761.0723605225157
286,FDE08,OUT010,762.7409810727056
287,NCD06,OUT018,760.529024788253
288,FDB57,OUT035,3550.925141466608
289,NCT54,OUT049,1972.9836538708817
290,DRF49,OUT045,1893.0461456015628
291,FDM25,OUT027,4131.87473953499
292,FDF20,OUT045,3542.408506522953
293,FDH27,OUT018,2437.7329823394357
294,FDV60,OUT027,4917.386039913737
295,FDY59,OUT049,2001.6702110050112
296,FDK36,OUT035,1109.409679743494
297,NCM31,OUT046,1867.2781856247248
298,FDE33,OUT017,1099.390342425921
299,FDU36,OUT046,1878.0388069991786
300,FDV13,OUT027,2476.0515364025205
301,FDV20,OUT019,-156.80328522221976
302,NCQ54,OUT035,2733.5497561447755
303,FDO23,OUT018,734.469176232961
304,DRE60,OUT045,3511.0698816829236
305,DRP47,OUT017,3555.0969052408973
306,FDB21,OUT045,3518.9274658380946
307,FDR04,OUT018,1630.7215787959224
308,FDX23,OUT046,1057.2429603356888
309,FDX19,OUT035,3529.316440976123
310,FDD40,OUT035,3552.1756659333505
311,FDA01,OUT046,1029.5879650188124
312,FDS33,OUT046,1027.4932914205042
313,FDM50,OUT027,2485.430933026334
314,FDB29,OUT013,1894.7192950456638
315,FDF46,OUT045,1886.454454307459
316,FDA33,OUT045,2731.7804434453165
317,FDC08,OUT010,1557.903499149056
318,FDB53,OUT045,2682.777761556885
319,FDY31,OUT027,4148.181015718895
320,DRQ35,OUT027,3315.553501614673
321,FDX36,OUT049,3618.4723642754016
322,DRD13,OUT017,1109.7130409082113
323,FDC52,OUT017,2782.0402988117985
324,FDB45,OUT049,1975.292334358712
325,NCK19,OUT010,1586.14246838727
326,FDV51,OUT013,2727.003092762883
327,FDZ35,OUT045,1902.8556590661306
328,NCW17,OUT027,3302.363528437132
329,FDV59,OUT045,3536.616264206573
330,DRH39,OUT013,1047.5635367471186
331,FDN60,OUT027,4110.896342763169
332,FDU55,OUT045,3533.7524085965397
333,FDN58,OUT027,4951.084470405047
334,FDC41,OUT019,-1002.5243531872818
335,FDO01,OUT027,3294.7179839786722
336,NCO43,OUT046,1879.297305098305
337,FDQ07,OUT045,3520.2310803228947
338,FDF28,OUT017,1936.8728203759936
339,FDM01,OUT017,1937.3031069346282
340,FDY49,OUT027,4131.794425169222
341,FDR24,OUT013,1064.674064136534
342,NCY18,OUT013,2748.583426615227
343,NCY30,OUT045,2702.138323601841
344,FDJ22,OUT019,1500.9489931056407
345,DRI37,OUT049,1134.7424757700517
346,FDL27,OUT049,1187.6042398296918
347,NCO30,OUT049,2805.4685920567726
348,NCB07,OUT049,3612.1528662846904
349,FDX25,OUT018,2433.5435422091914
350,FDP59,OUT018,1580.908925705898
351,FDR59,OUT045,3528.985940265613
352,FDT27,OUT013,3552.2983532098942
353,DRI01,OUT046,2702.7539869252396
354,FDU09,OUT049,1166.5355385127373
355,FDH26,OUT046,1851.0847877514514
356,FDH27,OUT046,1872.1158437802744
357,FDN39,OUT027,4110.17684148372
358,FDH40,OUT046,1029.8655154662429
359,FDJ56,OUT027,3272.5064373122477
360,DRN47,OUT018,2439.0075846431555
361,NCO17,OUT046,1860.605122878157
362,FDX60,OUT045,1048.2793496566828
363,FDT22,OUT049,1146.063751392756
364,FDX26,OUT019,659.0172421843292
365,FDG45,OUT013,3541.7777068346695
366,FDD44,OUT035,3560.8103150322995
367,FDS15,OUT017,1939.4457146322902
368,FDL51,OUT018,3234.6214272078123
369,FDL32,OUT017,1910.3468085241702
370,FDZ07,OUT027,2489.867349348373
371,NCW53,OUT019,1514.0635072443104
372,NCA54,OUT045,2707.5477713453047
373,FDX09,OUT035,2737.416850697333
374,FDO51,OUT013,1095.8227374798903
375,FDW49,OUT018,2401.1687649790783
376,FDB27,OUT046,3522.4244201101874
377,FDF45,OUT013,1078.4683519101218
378,FDV02,OUT013,2717.34539447311
379,FDY28,OUT035,3586.602070293655
380,FDX31,OUT027,4948.849291443938
381,FDR43,OUT027,2432.530708600283
382,FDP51,OUT018,1588.2209805478885
383,FDL52,OUT017,1130.165403748761
384,FDR44,OUT046,1860.470118559743
385,FDB34,OUT035,1084.327251016065
386,FDC50,OUT035,1916.498769593878
387,FDT57,OUT010,1610.8204961825747
388,FDP22,OUT027,2490.917176284419
389,DRE49,OUT046,2677.0552443548995
390,FDM40,OUT046,2658.4404628842894
391,FDY32,OUT045,2699.370653898821
392,FDW07,OUT046,995.0561263703672
393,FDU02,OUT019,1486.41614485696
394,NCF18,OUT045,3512.1567267590262
395,FDQ56,OUT049,1156.9702756571141
396,FDN58,OUT049,3631.194307957713
397,FDG35,OUT046,2680.435428378615
398,FDY34,OUT018,2444.5700134294493
399,NCE19,OUT045,1056.9503689888138
400,NCK31,OUT027,2491.285428401464
401,NCJ29,OUT045,1071.2115534430852
402,FDT59,OUT035,3567.2246058424744
403,NCX41,OUT046,3507.51528984139
404,FDU45,OUT027,3302.961166653733
405,FDW24,OUT019,-938.642935303387
406,FDF22,OUT049,3647.3863322087473
407,FDM60,OUT046,1041.3302517045609
408,FDR02,OUT013,1904.1725315842639
409,DRP35,OUT027,3278.202468916692
410,FDS48,OUT046,2688.084102953344
411,NCZ42,OUT010,1631.7185927053226
412,FDZ38,OUT018,2428.9392131542145
413,FDH19,OUT046,2676.6304393435485
414,NCB55,OUT046,994.8180187731715
415,FDC15,OUT017,2712.6222999711417
416,FDF11,OUT035,3574.748858705835
417,FDW35,OUT019,-933.0927176384546
418,FDB44,OUT045,3561.941276496941
419,NCC06,OUT017,1932.584867176616
420,FDR04,OUT010,-22.620747834357417
421,FDB17,OUT045,2715.3536180764722
422,FDW43,OUT049,3627.2531736455094
423,FDA27,OUT018,3250.3048743844074
424,NCU41,OUT049,3620.9172487807737
425,FDY56,OUT049,3623.515680864777
426,FDV39,OUT018,3269.139130998409
427,FDN32,OUT018,2426.806094867158
428,FDW07,OUT045,1020.3652758618368
429,FDZ27,OUT045,1083.063638445762
430,FDW23,OUT019,-960.5281778829687
431,FDU01,OUT046,2681.107108008394
432,FDF10,OUT049,2770.708293715219
433,DRH03,OUT019,-961.6942776445887
434,FDW27,OUT019,652.2246603801284
435,DRI13,OUT013,3558.4168381726913
436,NCR05,OUT046,3516.770450861679
437,FDB29,OUT045,1876.8779062599729
438,FDL51,OUT049,3618.0262721200843
439,FDB11,OUT013,3544.27749846404
440,FDI35,OUT046,2686.554323250033
441,FDX08,OUT046,2695.063381482488
442,FDP59,OUT045,1865.9296601264653
443,NCJ18,OUT049,1950.59043861321
444,FDJ41,OUT018,3274.6361962295896
445,FDU08,OUT035,1920.931994533778
446,FDS09,OUT019,-967.3260193512133
447,DRH15,OUT013,1104.2583456456287
448,NCV17,OUT017,1936.3457327522915
449,NCO54,OUT027,2475.1735654818112
450,FDE24,OUT035,1889.697964262824
451,FDH53,OUT046,1027.7245129653031
452,FDZ13,OUT018,755.6095108994015
453,FDW28,OUT045,3512.439489960866
454,FDU46,OUT013,1097.2345887274262
455,NCE43,OUT035,2717.346177933646
456,FDS26,OUT027,4925.690010065201
457,FDB14,OUT046,1002.267037470632
458,DRB48,OUT027,2478.30682302918
459,NCC42,OUT013,1901.0226901928288
460,FDQ20,OUT013,1096.0297467672115
461,FDA13,OUT017,1098.4883487915324
462,FDZ15,OUT046,1869.7439501462268
463,NCV42,OUT017,1960.9159010024844
464,DRI51,OUT018,2419.036908353509
465,FDO28,OUT035,1917.4900337632193
466,NCS54,OUT013,2740.4420373015337
467,FDH16,OUT017,1119.1214887292087
468,FDG24,OUT045,1083.7591829771206
469,FDR52,OUT018,3244.463235462026
470,NCH06,OUT045,3530.1537247372253
471,FDA36,OUT045,2741.7555945164904
472,FDU56,OUT027,4136.337879243375
473,FDT09,OUT049,1991.421238457607
474,FDU25,OUT046,1044.4054951670432
475,FDK41,OUT046,1008.4105239903743
476,NCT54,OUT035,1070.6533143976221
477,FDV51,OUT010,775.8139341555204
478,FDM24,OUT045,2743.175869247433
479,NCO30,OUT045,2707.083445538351
480,FDQ45,OUT013,2749.719321871891
481,DRK59,OUT035,3559.7587331060386
482,FDW28,OUT046,3514.789420415601
483,FDC02,OUT010,1570.4913216411076
484,FDR21,OUT035,2711.92868780327
485,FDN48,OUT027,2473.7980887357235
486,FDT44,OUT045,1861.311269290461
487,FDX14,OUT019,-973.7797718924767
488,FDH57,OUT046,1870.2499018692504
489,FDH28,OUT019,-999.3507299014984
490,NCT41,OUT019,681.0519776305498
491,FDO11,OUT027,4972.870940494433
492,NCP42,OUT017,3611.020619993902
493,FDN09,OUT010,1605.0040910033606
494,FDP32,OUT035,1910.6339550787081
495,FDV57,OUT049,2799.7170586122775
496,FDW28,OUT013,3530.3133494388694
497,FDR56,OUT027,4933.499868876717
498,FDA40,OUT035,1059.9278513415627
499,NCG42,OUT045,1887.419298769966
500,NCK54,OUT017,1957.0268187402764
501,FDE16,OUT049,3652.1702834400076
502,FDB15,OUT010,1559.4028543837883
503,FDC40,OUT017,1102.3683666974082
504,FDE53,OUT027,3316.614028427014
505,FDK24,OUT018,800.499132351847
506,FDW31,OUT018,3257.791003656367
507,NCX29,OUT017,2759.3665444611906
508,NCM07,OUT035,1093.8246320243536
509,DRN36,OUT019,-139.88526185887167
510,FDQ37,OUT010,1561.2254904610602
511,FDK43,OUT045,1900.963779021427
512,FDK28,OUT018,3263.9616752715046
513,FDR43,OUT045,1014.0252311626166
514,FDL48,OUT013,1053.9601837484784
515,DRL23,OUT045,1884.6211341894473
516,NCX42,OUT045,2740.7832019497046
517,DRD37,OUT018,794.7546177856027
518,FDZ47,OUT027,3277.476533375465
519,NCJ54,OUT027,4959.203425506996
520,FDL52,OUT013,1109.2508559637151
521,FDC15,OUT010,695.839036935525
522,NCD19,OUT010,-847.3260823119979
523,FDD08,OUT013,1094.3530802219593
524,NCN18,OUT045,1872.498624133301
525,FDY56,OUT046,3499.76373774684
526,NCI29,OUT018,1616.9518350785836
527,NCE06,OUT019,684.7139766282114
528,FDC08,OUT017,3559.1638020909922
529,FDU52,OUT045,2719.928966460784
530,FDN16,OUT013,1901.07932729213
531,NCM55,OUT010,759.72315153351
532,FDR49,OUT010,-912.5910905418439
533,FDC15,OUT049,2758.07248100162
534,FDB53,OUT017,2735.7802390103416
535,FDK44,OUT046,2693.362190746846
536,FDA16,OUT035,3577.8298577829455
537,FDO19,OUT027,2478.6523289591787
538,FDO04,OUT046,1034.5353759829793
539,NCL19,OUT035,2738.0553138319483
540,FDA44,OUT010,-893.3484152565104
541,FDR60,OUT017,1085.84428337696
542,FDV37,OUT027,4944.6849168948775
543,FDG53,OUT013,1912.3919527466903
544,DRG01,OUT035,1079.6825123606025
545,FDB38,OUT019,702.7505803688321
546,FDI27,OUT049,1170.6385105732506
547,FDD29,OUT010,1618.2617624286524
548,NCR41,OUT045,1884.9379603395023
549,FDW44,OUT049,2822.732030855609
550,FDU21,OUT035,1076.7556570898103
551,FDI14,OUT046,1845.9587232216463
552,FDW50,OUT019,676.4251393621655
553,FDN39,OUT046,2666.518994423126
554,FDT31,OUT017,3585.9465846482717
555,FDJ14,OUT017,1120.3671799232388
556,NCQ43,OUT027,3274.42866114749
557,FDZ22,OUT027,2489.131169857743
558,FDU38,OUT017,3584.8469571167943
559,FDS32,OUT045,1890.8020744527817
560,DRH13,OUT018,1619.744787015857
561,DRF03,OUT010,-887.818446776703
562,FDJ20,OUT049,1951.0221511661364
563,FDE22,OUT019,709.4820279939784
564,FDX22,OUT035,3581.038533637545
565,DRM11,OUT013,3564.65061420482
566,FDL58,OUT045,3546.1159860755934
567,FDL25,OUT049,1148.291625900758
568,FDD40,OUT049,3629.2863565446196
569,FDT08,OUT045,2710.26756561641
570,FDO22,OUT017,1123.0011191271533
571,NCM41,OUT018,772.2950280997935
572,FDJ21,OUT045,2706.4917849675994
573,FDC53,OUT018,1624.2112301350319
574,DRK35,OUT019,-961.0445696989052
575,FDQ09,OUT018,1612.1503362071428
576,DRB48,OUT046,1042.459058232982
577,DRE25,OUT035,1069.5451370824549
578,FDL08,OUT013,3559.875684129588
579,NCV42,OUT049,2006.1786781125677
580,FDW03,OUT049,2009.7969987239906
581,FDL25,OUT017,1102.9016045691515
582,FDC17,OUT018,3264.5951578683216
583,FDK44,OUT045,2680.576863254657
584,FDE34,OUT046,2676.9998878028046
585,FDP10,OUT035,1869.2222914150664
586,FDZ22,OUT045,1070.874642500617
587,NCK19,OUT013,3549.5154486599104
588,FDO44,OUT027,3293.8426699621714
589,NCU41,OUT046,3497.1602851578027
590,NCF31,OUT045,2719.9911994383046
591,FDG14,OUT017,2773.8183077041876
592,NCH30,OUT035,1892.6496201881064
593,FDR36,OUT013,1071.1882321670737
594,NCJ30,OUT046,2693.369732222227
595,FDR08,OUT045,1876.832106466303
596,FDU04,OUT018,1628.7269076174346
597,NCQ50,OUT017,3581.425888361264
598,FDL46,OUT027,3286.1240054163645
599,DRK37,OUT046,3531.9814550515193
600,FDK48,OUT046,1064.1671463216712
601,FDV58,OUT046,3470.9209769807703
602,FDN27,OUT018,1598.5852098091739
603,FDZ52,OUT049,1954.5529294493851
604,NCF42,OUT046,2639.426706322989
605,FDQ48,OUT035,1909.3883214769915
606,FDW49,OUT045,2686.206135999605
607,FDR58,OUT035,1099.5594071475984
608,NCE07,OUT017,2787.4484561215822
609,FDK14,OUT046,1052.4362300103192
610,FDC11,OUT027,2433.2761082540856
611,FDL22,OUT045,1056.2565950595022
612,NCQ41,OUT013,3559.9636794463368
613,FDX46,OUT013,1096.0347013132664
614,FDC35,OUT045,3527.0442997153405
615,FDH45,OUT035,1060.0338895706318
616,FDX33,OUT017,2752.3613125340944
617,DRJ35,OUT013,1086.6553986447407
618,FDC40,OUT013,1067.1344091543922
619,FDO19,OUT045,1060.4572221170686
620,FDP13,OUT049,1144.4774893095055
621,FDP24,OUT049,1956.6172057425804
622,NCQ42,OUT018,1587.4589864913794
623,FDY59,OUT018,802.8320810986164
624,FDU14,OUT045,3530.498301081545
625,FDB21,OUT035,3540.2942216554457
626,FDT32,OUT018,3232.9080095797
627,FDK20,OUT049,1988.2228252574862
628,FDX09,OUT027,4134.406979647902
629,FDM01,OUT035,1905.579314609637
630,DRI37,OUT027,2454.7338102949916
631,FDL20,OUT045,1852.200910565983
632,FDU13,OUT018,2394.2977920424028
633,FDE05,OUT019,722.8256043347831
634,FDE58,OUT013,1890.6268227631713
635,FDT32,OUT027,4936.234739372781
636,FDZ01,OUT010,-20.004178525801763
637,FDM08,OUT046,3517.0967624882487
638,FDS58,OUT013,2747.077855511813
639,FDZ26,OUT046,3485.4025728129936
640,FDC46,OUT027,4098.195849931988
641,FDY51,OUT018,3243.219706639642
642,FDL34,OUT017,2760.483464466335
643,DRG39,OUT018,775.7348407227411
644,NCG43,OUT018,1576.8613719738125
645,FDT01,OUT045,3493.3851080491986
646,NCR38,OUT017,3560.0896129171188
647,DRF01,OUT049,2788.008096898552
648,FDF53,OUT035,2704.2824486365
649,FDS45,OUT013,1928.7451222639145
650,FDR20,OUT017,1104.6187097135737
651,FDY07,OUT010,-847.1440259682508
652,FDD38,OUT045,1890.5758713436758
653,DRF15,OUT018,2419.296718021573
654,FDH32,OUT046,1853.2372196456208
655,NCJ42,OUT046,1856.2780180988927
656,FDB56,OUT018,3254.0054409066806
657,FDD03,OUT018,3241.7692461171546
658,NCL18,OUT013,3504.378765858861
659,FDW22,OUT049,3649.0715396407504
660,FDE32,OUT035,1064.7084620563467
661,FDA34,OUT027,4144.208448298925
662,FDJ08,OUT017,3575.3296904149483
663,FDG38,OUT013,1087.365834448768
664,FDD29,OUT018,3263.6717428591346
665,NCE31,OUT013,1049.254694686338
666,FDS19,OUT013,1072.5337442057025
667,FDU11,OUT013,1909.9990886640053
668,FDL02,OUT049,1951.434769580357
669,FDO51,OUT027,2496.2401342341454
670,DRK23,OUT018,3255.663379132253
671,FDO27,OUT018,1576.7620043923855
672,FDB16,OUT049,1172.1361452904807
