Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,establishment_age,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Item_MRP_Categories,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
NCS17,18.6,NA,0.080829372,Non perishable,96.4436,OUT018,10,1,0,2741.7644,2,False,False,True,False
FDP33,18.7,Low Fat,0.0,Processed Foods,256.6672,OUT018,10,1,0,3068.0064,4,False,False,True,False
FDO23,17.85,Low Fat,0.0,Starchy Foods,93.1436,OUT045,17,0,1,2174.5028,1,False,True,False,False
DRH01,17.5,NA,0.097904029,Drinks,174.8738,OUT046,22,0,2,2085.2856,3,False,True,False,False
NCX29,10.0,NA,0.089291137,Non perishable,146.7102,OUT049,20,1,2,3791.0652,3,False,True,False,False
FDV20,20.2,NA,0.059511812,Fruits and Vegetables,128.0678,OUT027,34,1,0,2797.6916,2,False,False,False,True
DRZ11,8.85,NA,0.113123893,Drinks,122.5388,OUT018,10,1,0,1609.9044,2,False,False,True,False
FDX10,6.385,Regular,0.123111453,Processed Foods,36.9874,OUT027,34,1,0,388.1614,1,False,False,False,True
FDB34,15.25,Low Fat,0.026480954,Processed Foods,87.6198,OUT027,34,1,0,2180.495,1,False,False,False,True
FDU02,13.35,Low Fat,0.102511504,Drinks,230.6352,OUT046,22,0,2,3435.528,4,False,True,False,False
FDK43,9.8,Low Fat,0.02681843,Meats,126.002,OUT013,32,2,0,2150.534,2,False,True,False,False
FDA46,13.6,Low Fat,0.117818348,Processed Foods,192.9136,OUT049,20,1,2,2527.3768,4,False,True,False,False
FDC02,21.35,Low Fat,0.069102831,Processed Foods,259.9278,OUT018,10,1,0,6768.5228,4,False,False,True,False
FDL50,12.15,Regular,0.042277867,Processed Foods,126.5046,OUT013,32,2,0,373.5138,2,False,True,False,False
FDM39,6.42,Low Fat,0.089498926,Drinks,178.1002,OUT010,21,0,0,358.2004,3,True,False,False,False
NCP05,19.6,NA,0.0,Non perishable,153.3024,OUT045,17,0,1,2428.8384,3,False,True,False,False
FDV49,10.0,Low Fat,0.025879577,Processed Foods,265.2226,OUT045,17,0,1,5815.0972,4,False,True,False,False
FDL12,15.85,Regular,0.121632721,Processed Foods,60.622,OUT046,22,0,2,2576.646,1,False,True,False,False
FDS02,10.195,Regular,0.255394896,Drinks,196.8794,OUT019,34,0,2,780.3176,4,True,False,False,False
NCL17,7.39,NA,0.067779712,Non perishable,143.8812,OUT046,22,0,2,3134.5864,3,False,True,False,False
FDM40,10.195,Low Fat,0.159803853,Processed Foods,141.5154,OUT013,32,2,0,850.8924,2,False,True,False,False
FDR13,9.895,Regular,0.028696932,Processed Foods,117.0492,OUT013,32,2,0,810.9444,2,False,True,False,False
FDA43,10.895,NA,0.065041581,Fruits and Vegetables,196.3794,OUT017,12,0,1,3121.2704,4,False,True,False,False
NCP18,12.15,NA,0.028760013,Non perishable,151.4708,OUT017,12,0,1,4815.0656,3,False,True,False,False
FDK21,7.905,Low Fat,0.010053105,Processed Foods,249.0408,OUT018,10,1,0,6258.52,4,False,False,True,False
NCX54,9.195,NA,0.048157338,Non perishable,106.1622,OUT045,17,0,1,2117.244,2,False,True,False,False
DRK35,8.365,NA,0.071958197,Drinks,38.0506,OUT049,20,1,2,796.9626,1,False,True,False,False
FDY21,15.1,Low Fat,0.173481304,Processed Foods,194.511,OUT046,22,0,2,4910.275,4,False,True,False,False
FDI26,5.94,Low Fat,0.061082177,Processed Foods,180.0344,OUT019,34,0,2,892.172,3,True,False,False,False
FDM20,10.0,NA,0.0,Fruits and Vegetables,246.9144,OUT018,10,1,0,3185.1872,4,False,False,True,False
FDV27,7.97,Regular,0.040071131,Meats,87.3514,OUT045,17,0,1,1062.6168,1,False,True,False,False
FDF09,6.215,NA,0.012090074,Fruits and Vegetables,38.2848,OUT027,34,1,0,484.7024,1,False,False,False,True
FDY40,15.5,Regular,0.15028599,Processed Foods,51.0692,OUT019,34,0,2,147.8076,1,True,False,False,False
FDY45,17.5,Low Fat,0.026015519,Processed Foods,255.8356,OUT027,34,1,0,2543.356,4,False,False,False,True
FDC46,17.7,Low Fat,0.195068226,Processed Foods,185.4266,OUT010,21,0,0,184.4266,3,True,False,False,False
FDH19,19.35,Low Fat,0.033082215,Meats,172.5738,OUT035,15,0,1,4865.6664,3,False,True,False,False
FDZ03,13.65,Regular,0.078946455,Drinks,186.024,OUT045,17,0,1,1118.544,4,False,True,False,False
DRH37,17.6,NA,0.041700756,Drinks,164.8526,OUT045,17,0,1,2302.3364,3,False,True,False,False
NCI17,8.645,NA,0.143422643,Non perishable,95.841,OUT046,22,0,2,2027.361,2,False,True,False,False
FDJ58,15.6,Regular,0.105296072,Processed Foods,170.1764,OUT046,22,0,2,3435.528,3,False,True,False,False
FDL12,15.85,Regular,0.121531501,Processed Foods,59.222,OUT013,32,2,0,599.22,1,False,True,False,False
FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526,OUT045,17,0,1,4604.6728,3,False,True,False,False
FDG02,7.855,Low Fat,0.011324862,Processed Foods,189.6188,OUT017,12,0,1,2285.0256,4,False,True,False,False
NCZ18,7.825,NA,0.186357148,Non perishable,254.3698,OUT049,20,1,2,5580.7356,4,False,True,False,False
FDC29,8.39,Regular,0.024205661,Processed Foods,114.0176,OUT046,22,0,2,2290.352,2,False,True,False,False
FDQ10,12.85,Low Fat,0.033230816,Processed Foods,172.3422,OUT049,20,1,2,1207.0954,3,False,True,False,False
FDN48,13.35,Low Fat,0.113720344,Processed Foods,89.9804,OUT019,34,0,2,643.1628,1,True,False,False,False
FDL04,19.0,Low Fat,0.112556507,Processed Foods,104.9622,OUT017,12,0,1,1587.933,2,False,True,False,False
FDV25,5.905,Low Fat,0.0,Processed Foods,222.5456,OUT045,17,0,1,5305.0944,4,False,True,False,False
FDD58,7.76,Low Fat,0.059352241,Processed Foods,101.87,OUT046,22,0,2,1697.79,2,False,True,False,False
FDN04,11.8,Regular,0.014087057,Processed Foods,180.3344,OUT046,22,0,2,1427.4752,3,False,True,False,False
FDV45,16.75,Low Fat,0.045230944,Processed Foods,187.9556,OUT018,10,1,0,4693.89,4,False,False,True,False
NCL18,18.85,NA,0.293417759,Non perishable,194.6136,OUT019,34,0,2,583.2408,4,True,False,False,False
FDR12,12.6,Regular,0.031382044,Processed Foods,171.3764,OUT027,34,1,0,3091.9752,3,False,False,False,True
FDG20,15.5,NA,0.12639886,Fruits and Vegetables,177.0028,OUT017,12,0,1,2479.4392,3,False,True,False,False
FDZ55,6.055,NA,0.025403898,Fruits and Vegetables,160.992,OUT035,15,0,1,2716.464,3,False,True,False,False
FDQ49,20.2,Regular,0.039057677,Starchy Foods,155.963,OUT027,34,1,0,3285.723,3,False,False,False,True
FDN33,6.305,Regular,0.123115764,Processed Foods,95.6436,OUT046,22,0,2,661.8052,2,False,True,False,False
FDN27,20.85,Low Fat,0.039624006,Meats,117.2808,OUT049,20,1,2,1523.3504,2,False,True,False,False
FDW20,20.75,NA,0.040421193,Fruits and Vegetables,122.173,OUT010,21,0,0,369.519,2,True,False,False,False
DRG27,8.895,Low Fat,0.105274111,Drinks,39.9138,OUT049,20,1,2,690.4346,1,False,True,False,False
DRI25,19.6,NA,0.033970195,Drinks,55.1614,OUT045,17,0,1,1381.535,1,False,True,False,False
FDA44,19.7,NA,0.053212652,Fruits and Vegetables,57.893,OUT035,15,0,1,622.523,1,False,True,False,False
NCR17,9.8,NA,0.024378706,Non perishable,114.5492,OUT035,15,0,1,1274.3412,2,False,True,False,False
FDU04,7.93,Low Fat,0.009714595,Processed Foods,120.0414,OUT019,34,0,2,487.3656,2,True,False,False,False
FDF41,12.15,Low Fat,0.131383762,Processed Foods,246.046,OUT049,20,1,2,1231.73,4,False,True,False,False
FDB56,8.75,NA,0.07461309,Fruits and Vegetables,187.4556,OUT035,15,0,1,3755.112,4,False,True,False,False
NCP18,12.15,NA,0.028459761,Non perishable,149.9708,OUT027,34,1,0,4363.6532,3,False,False,False,True
FDB56,8.75,NA,0.074627201,Fruits and Vegetables,187.8556,OUT046,22,0,2,1314.2892,4,False,True,False,False
FDT28,13.3,Low Fat,0.063695084,Processed Foods,151.0708,OUT045,17,0,1,1805.6496,3,False,True,False,False
FDD10,20.6,Regular,0.045797829,Processed Foods,178.5344,OUT027,34,1,0,2854.9504,3,False,False,False,True
FDW57,8.31,Regular,0.115857223,Processed Foods,179.1028,OUT049,20,1,2,3896.2616,3,False,True,False,False
DRB48,16.75,NA,0.024832806,Drinks,38.7822,OUT013,32,2,0,667.7974,1,False,True,False,False
FDP09,19.75,Low Fat,0.034027909,Processed Foods,212.0902,OUT018,10,1,0,3185.853,4,False,False,True,False
FDH14,17.1,Regular,0.0467696,Processed Foods,141.1838,OUT013,32,2,0,2247.7408,2,False,True,False,False
FDA47,10.5,Regular,0.116576702,Processed Foods,163.121,OUT013,32,2,0,1794.331,3,False,True,False,False
FDG12,6.635,Regular,0.0,Processed Foods,121.3098,OUT045,17,0,1,2530.7058,2,False,True,False,False
DRE60,9.395,NA,0.278974075,Drinks,225.372,OUT019,34,0,2,679.116,4,True,False,False,False
DRK49,14.15,NA,0.035913805,Drinks,41.4138,OUT013,32,2,0,812.276,1,False,True,False,False
FDD03,13.3,Low Fat,0.079806266,Drinks,232.53,OUT046,22,0,2,699.09,4,False,True,False,False
FDS52,8.89,Low Fat,0.005505481,Processed Foods,102.4016,OUT017,12,0,1,2732.4432,2,False,True,False,False
FDW39,6.69,Regular,0.064625342,Meats,176.937,OUT019,34,0,2,176.437,3,True,False,False,False
FDX34,6.195,Low Fat,0.071636937,Processed Foods,121.7098,OUT027,34,1,0,4097.3332,2,False,False,False,True
FDV11,9.1,Regular,0.0,Starchy Foods,173.2054,OUT045,17,0,1,3151.8972,3,False,True,False,False
FDD17,7.5,Low Fat,0.032677678,Processed Foods,239.0906,OUT049,20,1,2,5942.265,4,False,True,False,False
FDZ16,16.85,Regular,0.160760054,Processed Foods,192.4478,OUT017,12,0,1,4843.695,4,False,True,False,False
FDZ46,7.485,Low Fat,0.06911065,Processed Foods,109.0228,OUT035,15,0,1,2542.0244,2,False,True,False,False
DRA12,11.6,NA,0.041177505,Drinks,140.3154,OUT017,12,0,1,2552.6772,2,False,True,False,False
FDY58,11.65,Low Fat,0.040081193,Processed Foods,227.0694,OUT018,10,1,0,1141.847,4,False,False,True,False
NCF19,13.0,NA,0.035307322,Non perishable,47.5034,OUT017,12,0,1,680.4476,1,False,True,False,False
DRJ13,12.65,NA,0.063017847,Drinks,159.0578,OUT045,17,0,1,2085.9514,3,False,True,False,False
FDB14,20.25,Regular,0.171938781,Processed Foods,92.512,OUT010,21,0,0,186.424,1,True,False,False,False
FDJ38,8.6,Regular,0.040197932,Processed Foods,190.153,OUT035,15,0,1,3036.048,4,False,True,False,False
FDW11,12.6,Low Fat,0.049058014,Starchy Foods,62.7194,OUT017,12,0,1,866.8716,1,False,True,False,False
FDL40,17.7,Low Fat,0.01161096,Processed Foods,95.041,OUT035,15,0,1,868.869,2,False,True,False,False
DRI49,14.15,NA,0.183507295,Drinks,82.4276,OUT046,22,0,2,1137.1864,1,False,True,False,False
FDV38,19.25,Low Fat,0.102349519,Drinks,52.7956,OUT017,12,0,1,928.1252,1,False,True,False,False
DRG23,8.88,NA,0.086708987,Drinks,151.7682,OUT013,32,2,0,762.341,3,False,True,False,False
NCP30,20.5,NA,0.032835147,Non perishable,40.2822,OUT045,17,0,1,707.0796,1,False,True,False,False
FDY25,12.0,Low Fat,0.033809913,Processed Foods,180.5976,OUT027,34,1,0,7968.2944,3,False,False,False,True
NCH54,13.5,NA,0.07266912,Non perishable,160.292,OUT046,22,0,2,1438.128,3,False,True,False,False
NCR53,12.15,NA,0.144338493,Non perishable,224.4404,OUT027,34,1,0,6976.2524,4,False,False,False,True
FDS52,8.89,Low Fat,0.009163216,Processed Foods,101.7016,OUT010,21,0,0,101.2016,2,True,False,False,False
FDG02,7.855,Low Fat,0.011307038,Processed Foods,188.5188,OUT018,10,1,0,952.094,4,False,False,True,False
NCO26,7.235,NA,0.076855628,Non perishable,116.0492,OUT046,22,0,2,1969.4364,2,False,True,False,False
FDH35,18.25,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,34,1,0,5262.4832,3,False,False,False,True
FDB51,6.92,Low Fat,0.038532062,Drinks,60.5852,OUT045,17,0,1,1314.2892,1,False,True,False,False
FDX44,9.3,NA,0.043209581,Fruits and Vegetables,90.8172,OUT017,12,0,1,535.3032,1,False,True,False,False
NCN07,18.5,NA,0.056816465,Non perishable,132.1284,OUT010,21,0,0,263.6568,2,True,False,False,False
NCC31,8.02,NA,0.019866705,Non perishable,154.5972,OUT035,15,0,1,1402.1748,3,False,True,False,False
NCX54,9.195,NA,0.048331717,Non perishable,105.1622,OUT017,12,0,1,1693.7952,2,False,True,False,False
NCO55,12.8,NA,0.091221855,Non perishable,105.5938,OUT045,17,0,1,2143.876,2,False,True,False,False
NCC30,16.6,NA,0.027622076,Non perishable,177.6344,OUT049,20,1,2,2676.516,3,False,True,False,False
FDI16,14.0,Regular,0.0,Processed Foods,53.064,OUT035,15,0,1,905.488,1,False,True,False,False
FDP16,18.6,Low Fat,0.039355947,Processed Foods,246.3802,OUT049,20,1,2,7370.406,4,False,True,False,False
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,15,0,1,6301.1312,4,False,True,False,False
NCB06,17.6,NA,0.082316506,Non perishable,160.692,OUT035,15,0,1,1597.92,3,False,True,False,False
FDA45,21.25,Low Fat,0.155350299,Processed Foods,178.237,OUT035,15,0,1,529.311,3,False,True,False,False
NCO26,7.235,NA,0.076841095,Non perishable,117.5492,OUT035,15,0,1,1969.4364,2,False,True,False,False
DRJ25,14.6,NA,0.151419185,Drinks,50.3692,OUT017,12,0,1,1034.6532,1,False,True,False,False
FDR28,13.85,Regular,0.026001976,Processed Foods,161.521,OUT018,10,1,0,1794.331,3,False,False,True,False
FDI04,13.65,Regular,0.073209447,Processed Foods,197.6426,OUT018,10,1,0,2768.3964,4,False,False,True,False
DRK12,9.5,NA,0.041683481,Drinks,31.29,OUT027,34,1,0,898.83,1,False,False,False,True
FDX20,7.365,NA,0.042560252,Fruits and Vegetables,226.172,OUT046,22,0,2,3169.208,4,False,True,False,False
NCI18,18.35,NA,0.014081156,Non perishable,223.5746,OUT018,10,1,0,3589.9936,4,False,False,True,False
FDB36,5.465,Regular,0.0,Processed Foods,132.5626,OUT018,10,1,0,262.3252,2,False,False,True,False
FDN13,18.6,Low Fat,0.152918384,Starchy Foods,99.8358,OUT017,12,0,1,1910.1802,2,False,True,False,False
DRD24,13.85,NA,0.030969274,Drinks,140.9154,OUT017,12,0,1,1701.7848,2,False,True,False,False
FDQ28,14.0,Regular,0.060376776,Processed Foods,154.5656,OUT013,32,2,0,2471.4496,3,False,True,False,False
FDM22,14.0,Regular,0.04192285,Processed Foods,54.764,OUT013,32,2,0,1331.6,1,False,True,False,False
FDR07,21.35,NA,0.077367431,Fruits and Vegetables,97.0094,OUT027,34,1,0,1808.9786,2,False,False,False,True
FDV25,5.905,Low Fat,0.045838211,Processed Foods,222.5456,OUT018,10,1,0,3315.684,4,False,False,True,False
DRF49,7.27,NA,0.071077939,Drinks,114.2518,OUT046,22,0,2,2618.5914,2,False,True,False,False
FDW51,6.155,Regular,0.094659871,Meats,214.556,OUT046,22,0,2,2769.728,4,False,True,False,False
DRL01,19.5,NA,0.077608838,Drinks,233.4958,OUT017,12,0,1,5375.0034,4,False,True,False,False
FDP25,15.2,Low Fat,0.021327477,Processed Foods,216.8824,OUT017,12,0,1,2838.9712,4,False,True,False,False
FDL50,12.15,Regular,0.042485444,Processed Foods,125.0046,OUT018,10,1,0,1743.0644,2,False,False,True,False
NCB30,14.6,NA,0.025578526,Non perishable,198.8084,OUT027,34,1,0,5555.4352,4,False,False,False,True
FDW11,12.6,Low Fat,0.0489808,Starchy Foods,61.9194,OUT018,10,1,0,619.194,1,False,False,True,False
NCM43,14.5,NA,0.019471688,Non perishable,164.821,OUT035,15,0,1,2120.573,3,False,True,False,False
FDK44,16.6,NA,0.122918852,Fruits and Vegetables,173.0738,OUT017,12,0,1,3823.0236,3,False,True,False,False
FDM15,11.8,Regular,0.057373797,Meats,151.4366,OUT013,32,2,0,1360.2294,3,False,True,False,False
FDS31,13.1,NA,0.044155597,Fruits and Vegetables,178.8318,OUT013,32,2,0,3969.4996,3,False,True,False,False
FDI32,17.7,NA,0.291865402,Fruits and Vegetables,115.1834,OUT010,21,0,0,345.5502,2,True,False,False,False
FDR47,17.85,Low Fat,0.0,Starchy Foods,196.5794,OUT010,21,0,0,585.2382,4,True,False,False,False
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,17,0,1,1010.6844,1,False,True,False,False
NCU05,11.8,NA,0.098312421,Non perishable,81.4618,OUT010,21,0,0,161.1236,1,True,False,False,False
DRY23,9.395,NA,0.191013663,Drinks,42.1112,OUT019,34,0,2,42.6112,1,True,False,False,False
FDO24,11.1,Low Fat,0.176573035,Processed Foods,157.4604,OUT045,17,0,1,3010.7476,3,False,True,False,False
FDQ28,14.0,Regular,0.060134441,Processed Foods,153.0656,OUT027,34,1,0,6024.1584,3,False,False,False,True
FDV39,11.3,Low Fat,0.007294652,Meats,198.1426,OUT045,17,0,1,988.713,4,False,True,False,False
NCO17,10.0,NA,0.128478462,Non perishable,117.944,OUT019,34,0,2,239.688,2,True,False,False,False
FDU50,5.75,Regular,0.075107656,Drinks,112.8176,OUT013,32,2,0,1374.2112,2,False,True,False,False
FDT12,6.215,Regular,0.049381406,Processed Foods,226.8062,OUT027,34,1,0,4739.8302,4,False,False,False,True
FDK58,11.35,Regular,0.045165796,Processed Foods,100.0016,OUT018,10,1,0,1012.016,2,False,False,True,False
FDO08,11.1,NA,0.09415375,Fruits and Vegetables,165.7526,OUT019,34,0,2,657.8104,3,True,False,False,False
NCW29,14.0,NA,0.028907832,Non perishable,130.431,OUT049,20,1,2,778.986,2,False,True,False,False
FDE04,19.75,Regular,0.018059621,Processed Foods,179.766,OUT045,17,0,1,2336.958,3,False,True,False,False
NCB19,6.525,NA,0.090436094,Non perishable,85.0882,OUT049,20,1,2,2233.0932,1,False,True,False,False
FDV15,10.3,Low Fat,0.146399712,Meats,103.9648,OUT049,20,1,2,1661.8368,2,False,True,False,False
FDL58,5.78,Regular,0.074264356,Processed Foods,264.7568,OUT049,20,1,2,4745.8224,4,False,True,False,False
FDA08,11.85,NA,0.050186726,Fruits and Vegetables,164.1526,OUT045,17,0,1,3124.5994,3,False,True,False,False
FDT43,16.35,NA,0.020631654,Fruits and Vegetables,50.1324,OUT018,10,1,0,467.3916,1,False,False,True,False
NCX06,17.6,NA,0.01561108,Non perishable,182.5976,OUT027,34,1,0,5070.7328,3,False,False,False,True
FDT20,10.5,NA,0.041395445,Fruits and Vegetables,37.6164,OUT046,22,0,2,540.6296,1,False,True,False,False
FDB41,19.0,Regular,0.097313129,Processed Foods,48.0718,OUT046,22,0,2,992.7078,1,False,True,False,False
NCN55,14.6,NA,0.059582996,Non perishable,238.8538,OUT049,20,1,2,6008.845,4,False,True,False,False
FDE40,15.6,Regular,0.098663652,Drinks,62.9194,OUT027,34,1,0,2105.2596,1,False,False,False,True
FDX49,4.615,Regular,0.101338651,Processed Foods,232.63,OUT027,34,1,0,5359.69,4,False,False,False,True
NCM53,18.75,NA,0.052146456,Non perishable,104.628,OUT045,17,0,1,745.696,2,False,True,False,False
FDE36,5.26,Regular,0.041764487,Processed Foods,161.8868,OUT035,15,0,1,3275.736,3,False,True,False,False
FDN57,18.25,Low Fat,0.054344186,Processed Foods,140.2154,OUT045,17,0,1,1701.7848,2,False,True,False,False
FDI24,10.3,Low Fat,0.078362484,Processed Foods,177.937,OUT027,34,1,0,6704.606,3,False,False,False,True
FDI19,15.1,Low Fat,0.052339069,Meats,242.7512,OUT046,22,0,2,4119.9704,4,False,True,False,False
FDF24,15.5,Regular,0.042464962,Processed Foods,81.5934,OUT010,21,0,0,327.5736,1,True,False,False,False
FDG52,13.65,Low Fat,0.065732883,Processed Foods,45.7402,OUT049,20,1,2,780.9834,1,False,True,False,False
DRF36,16.1,NA,0.023625114,Drinks,189.3846,OUT045,17,0,1,3630.6074,4,False,True,False,False
FDS45,5.175,Regular,0.051643608,Processed Foods,107.3622,OUT019,34,0,2,317.5866,2,True,False,False,False
FDX40,12.85,Low Fat,0.165694219,Processed Foods,39.7164,OUT010,21,0,0,231.6984,1,True,False,False,False
DRK12,9.5,NA,0.041878397,Drinks,32.99,OUT035,15,0,1,133.16,1,False,True,False,False
DRC27,13.8,Low Fat,0.058091482,Drinks,245.1802,OUT035,15,0,1,5650.6446,4,False,True,False,False
FDL58,5.78,Regular,0.0,Processed Foods,263.7568,OUT017,12,0,1,2636.568,4,False,True,False,False
NCD30,19.7,NA,0.026903714,Non perishable,96.0726,OUT045,17,0,1,1272.3438,2,False,True,False,False
NCZ54,14.65,NA,0.0,Non perishable,161.5552,OUT010,21,0,0,324.9104,3,True,False,False,False
FDE10,6.67,Regular,0.150554711,Processed Foods,130.0626,OUT010,21,0,0,131.1626,2,True,False,False,False
FDR44,6.11,NA,0.0,Fruits and Vegetables,131.2968,OUT010,21,0,0,260.9936,2,True,False,False,False
FDP28,13.65,Regular,0.134975628,Processed Foods,260.0936,OUT010,21,0,0,260.9936,4,True,False,False,False
FDX15,17.2,Low Fat,0.15616879,Meats,160.6578,OUT013,32,2,0,3690.5294,3,False,True,False,False
FDA39,6.32,Low Fat,0.0,Meats,40.2822,OUT035,15,0,1,1139.1838,1,False,True,False,False
FDY24,4.88,Regular,0.133700752,Processed Foods,52.9298,OUT049,20,1,2,1995.4026,1,False,True,False,False
FDC60,5.425,Regular,0.115119905,Processed Foods,88.3514,OUT017,12,0,1,1416.8224,1,False,True,False,False
FDH28,15.85,Regular,0.110030997,Processed Foods,37.2506,OUT046,22,0,2,265.6542,1,False,True,False,False
FDT25,7.5,Low Fat,0.051038045,Processed Foods,121.7072,OUT017,12,0,1,3552.7088,2,False,True,False,False
DRJ13,12.65,NA,0.062837968,Drinks,161.5578,OUT013,32,2,0,2406.867,3,False,True,False,False
NCO07,9.06,NA,0.017116983,Non perishable,211.956,OUT019,34,0,2,213.056,4,True,False,False,False
FDW20,20.75,NA,0.024129332,Fruits and Vegetables,124.173,OUT013,32,2,0,2956.152,2,False,True,False,False
DRF27,8.93,Low Fat,0.049754975,Drinks,152.134,OUT019,34,0,2,153.134,3,True,False,False,False
FDS49,9.0,Low Fat,0.0,Processed Foods,79.7644,OUT035,15,0,1,1649.8524,1,False,True,False,False
FDX25,16.7,Low Fat,0.101561568,Processed Foods,181.9292,OUT027,34,1,0,3101.2964,3,False,False,False,True
NCX42,6.36,NA,0.005949644,Non perishable,165.6526,OUT027,34,1,0,4769.1254,3,False,False,False,True
FDG33,5.365,Regular,0.13956116,Meats,170.4764,OUT027,34,1,0,3435.528,3,False,False,False,True
FDL56,14.1,NA,0.126035694,Fruits and Vegetables,86.4198,OUT045,17,0,1,1133.8574,1,False,True,False,False
FDF14,7.55,Low Fat,0.027164679,Processed Foods,152.334,OUT035,15,0,1,2603.278,3,False,True,False,False
NCD06,13.0,NA,0.099325278,Non perishable,45.406,OUT046,22,0,2,605.878,1,False,True,False,False
DRM47,9.3,NA,0.04357366,Drinks,192.8846,OUT027,34,1,0,2293.0152,4,False,False,False,True
FDS46,17.6,Regular,0.082741482,Processed Foods,118.7782,OUT019,34,0,2,119.1782,2,True,False,False,False
FDB35,12.3,Regular,0.064565202,Starchy Foods,92.9804,OUT013,32,2,0,1929.4884,1,False,True,False,False
FDX21,7.05,Low Fat,0.084554569,Processed Foods,109.8912,OUT027,34,1,0,2074.6328,2,False,False,False,True
